Année publication;Code département;Nombre  d'habitants;Densité de population au km2;Variation de la population sur 10 ans (en %);Dont contribution du solde naturel (en %);Dont contribution du solde migratoire (en %);% population de moins de 20 ans;% population de 60 ans et plus;Taux de chômage au T4 (en %);Taux de pauvreté* (en %)
2022;80;567745;92.0;-0.61;0.74;-1.35;24.0;27.0;9.1;15.7
2022;88;360241;62.0;-4.91;-2.61;-2.3;21.0;33.0;8.2;14.9
2022;5;141039;25.0;1.76;-0.81;2.57;21.0;33.0;7.8;13.9
2022;49;822488;114.0;4.07;3.26;0.8;25.0;27.0;7.0;11.1
2022;35;1098420;160.0;10.23;4.22;6.02;25.0;24.0;5.8;10.7
2022;33;1661929;153.0;13.55;2.95;10.59;23.0;26.0;7.2;12.4
2022;79;374763;62.0;1.03;-1.23;2.26;23.0;31.0;5.6;11.9
2022;87;370651;67.0;-1.44;-1.77;0.33;21.0;32.0;7.0;15.3
2022;26;521894;80.0;6.95;2.13;4.82;24.0;29.0;8.5;14.4
2022;41;326778;52.0;-1.36;-1.63;0.27;22.0;33.0;6.3;12.5
2022;85;694684;102.0;8.26;-0.58;8.85;23.0;32.0;5.9;8.9
2022;18;298669;41.0;-4.18;-3.2;-0.98;21.0;34.0;7.8;14.0
2022;25;546224;104.0;3.24;3.52;-0.28;24.0;26.0;7.3;12.2
2022;76;1254203;200.0;0.23;2.41;-2.18;24.0;27.0;8.6;14.6
2022;61;275624;45.0;-5.25;-3.01;-2.24;22.0;34.0;7.2;15.0
2022;64;688474;90.0;4.85;-1.52;6.37;21.0;32.0;6.4;12.2
2022;24;412163;45.0;-0.72;-5.91;5.19;19.0;38.0;7.7;16.1
2022;55;180059;29.0;-6.97;-1.63;-5.34;22.0;31.0;7.5;14.2
2022;60;831944;142.0;3.26;4.77;-1.51;26.0;24.0;7.9;12.8
2022;71;547937;64.0;-1.45;-2.59;1.14;21.0;34.0;6.6;12.8
2022;14;695207;125.0;1.45;0.6;0.85;23.0;29.0;7.1;11.9
2022;27;595697;99.0;1.29;2.67;-1.38;25.0;27.0;7.8;12.3
2022;2A;161082;40.0;10.45;-1.1;11.54;20.0;31.0;6.5;16.3
2022;54;732085;139.0;-0.14;1.41;-1.55;23.0;26.0;7.5;14.6
2022;7;329841;59.0;3.96;-2.09;6.05;22.0;33.0;8.6;14.3
